"","Name","Status","ISO[1]","ANSI[2]","ANSI[3]","USPS[4]","USCG[5]","Old GPO","AP[6]","Other"
"4","Alabama","State","US-AL","AL","01","AL","AL","Ala.","Ala.",""
"5","Alaska","State","US-AK","AK","02","AK","AK","Alaska","Alaska","Alas."
"6","Arizona","State","US-AZ","AZ","04","AZ","AZ","Ariz.","Ariz.","Az."
"7","Arkansas","State","US-AR","AR","05","AR","AR","Ark.","Ark.",""
"8","California","State","US-CA","CA","06","CA","CF","Calif.","Calif.","Ca., Cal."
"9","Colorado","State","US-CO","CO","08","CO","CL","Colo.","Colo.","Col."
"10","Connecticut","State","US-CT","CT","09","CT","CT","Conn.","Conn.","Ct."
"11","Delaware","State","US-DE","DE","10","DE","DL","Del.","Del.","De."
"12","District of Columbia","Federal district","US-DC","DC","11","DC","DC","D.C.","D.C.","Wash. D.C."
"13","Florida","State","US-FL","FL","12","FL","FL","Fla.","Fla.","Fl., Flor."
"14","Georgia","State","US-GA","GA","13","GA","GA","Ga.","Ga.",""
"15","Hawaii","State","US-HI","HI","15","HI","HA","Hawaii","Hawaii","H.I."
"16","Idaho","State","US-ID","ID","16","ID","ID","Idaho","Idaho","Id., Ida."
"17","Illinois","State","US-IL","IL","17","IL","IL","Ill.","Ill.","Il., Ills., Ill's"
"18","Indiana","State","US-IN","IN","18","IN","IN","Ind.","Ind.","In."
"19","Iowa","State","US-IA","IA","19","IA","IA","Iowa","Iowa","Ia., Ioa.[7]"
"20","Kansas","State","US-KS","KS","20","KS","KA","Kans.","Kan.","Ks., Ka."
"21","Kentucky","State (Commonwealth)","US-KY","KY","21","KY","KY","Ky.","Ky.","Ken., Kent."
"22","Louisiana","State","US-LA","LA","22","LA","LA","La.","La.",""
"23","Maine","State","US-ME","ME","23","ME","ME","Maine","Maine","Me."
"24","Maryland","State","US-MD","MD","24","MD","MD","Md.","Md.",""
"25","Massachusetts","State (Commonwealth)","US-MA","MA","25","MA","MS","Mass.","Mass.",""
"26","Michigan","State","US-MI","MI","26","MI","MC","Mich.","Mich.",""
"27","Minnesota","State","US-MN","MN","27","MN","MN","Minn.","Minn.","Mn."
"28","Mississippi","State","US-MS","MS","28","MS","MI","Miss.","Miss.",""
"29","Missouri","State","US-MO","MO","29","MO","MO","Mo.","Mo.",""
"30","Montana","State","US-MT","MT","30","MT","MT","Mont.","Mont.",""
"31","Nebraska","State","US-NE","NE","31","NE","NB","Nebr.","Neb.",""
"32","Nevada","State","US-NV","NV","32","NV","NV","Nev.","Nev.","Nv."
"33","New Hampshire","State","US-NH","NH","33","NH","NH","N.H.","N.H.",""
"34","New Jersey","State","US-NJ","NJ","34","NJ","NJ","N.J.","N.J.",""
"35","New Mexico","State","US-NM","NM","35","NM","NM","N. Mex.","N.M.","New M."
"36","New York","State","US-NY","NY","36","NY","NY","N.Y.","N.Y.","N. York"
"37","North Carolina","State","US-NC","NC","37","NC","NC","N.C.","N.C.","N. Car."
"38","North Dakota","State","US-ND","ND","38","ND","ND","N. Dak.","N.D.","NoDak"
"39","Ohio","State","US-OH","OH","39","OH","OH","Ohio","Ohio","O., Oh."
"40","Oklahoma","State","US-OK","OK","40","OK","OK","Okla.","Okla.","Ok."
"41","Oregon","State","US-OR","OR","41","OR","OR","Oreg.","Ore.","Or."
"42","Pennsylvania","State (Commonwealth)","US-PA","PA","42","PA","PA","Pa.","Pa.","Penn., Penna."
"43","Rhode Island","State","US-RI","RI","44","RI","RI","R.I.","R.I.","R.I. & P.P., R. Isl."
"44","South Carolina","State","US-SC","SC","45","SC","SC","S.C.","S.C.","S. Car."
"45","South Dakota","State","US-SD","SD","46","SD","SD","S. Dak.","S.D.","SoDak"
"46","Tennessee","State","US-TN","TN","47","TN","TN","Tenn.","Tenn.",""
"47","Texas","State","US-TX","TX","48","TX","TX","Tex.","Texas","Tx."
"48","Utah","State","US-UT","UT","49","UT","UT","Utah","Utah","Ut."
"49","Vermont","State","US-VT","VT","50","VT","VT","Vt.","Vt.",""
"50","Virginia","State (Commonwealth)","US-VA","VA","51","VA","VA","Va.","Va.","Virg."
"51","Washington","State","US-WA","WA","53","WA","WN","Wash.","Wash.","Wa., Wn.[8]"
"52","West Virginia","State","US-WV","WV","54","WV","WV","W. Va.","W.Va.","W.V., W. Virg."
"53","Wisconsin","State","US-WI","WI","55","WI","WS","Wis.","Wis.","Wi., Wisc."
"54","Wyoming","State","US-WY","WY","56","WY","WY","Wyo.","Wyo.","Wy."
"55","American Samoa","Insular area (Territory)","AS
ASM
US-AS","AS","60","AS","AS","A.S.","",""
